store_id,sku_id,forecast_date,forecast_demand
STORE_01,SKU_001,2026-06-01,2.4285714285714284
STORE_01,SKU_001,2026-06-02,2.4285714285714284
STORE_01,SKU_001,2026-06-03,2.4285714285714284
STORE_01,SKU_001,2026-06-04,2.4285714285714284
STORE_01,SKU_001,2026-06-05,2.4285714285714284
STORE_01,SKU_001,2026-06-06,3.101637845028267
STORE_01,SKU_001,2026-06-07,3.101637845028267
STORE_01,SKU_002,2026-06-01,2.2857142857142856
STORE_01,SKU_002,2026-06-02,2.2857142857142856
STORE_01,SKU_002,2026-06-03,2.2857142857142856
STORE_01,SKU_002,2026-06-04,2.2857142857142856
STORE_01,SKU_002,2026-06-05,2.2857142857142856
STORE_01,SKU_002,2026-06-06,3.15993504112316
STORE_01,SKU_002,2026-06-07,3.15993504112316
STORE_01,SKU_003,2026-06-01,2.2857142857142856
STORE_01,SKU_003,2026-06-02,2.2857142857142856
STORE_01,SKU_003,2026-06-03,2.2857142857142856
STORE_01,SKU_003,2026-06-04,2.2857142857142856
STORE_01,SKU_003,2026-06-05,2.2857142857142856
STORE_01,SKU_003,2026-06-06,2.926145552560647
STORE_01,SKU_003,2026-06-07,2.926145552560647
STORE_01,SKU_004,2026-06-01,3.5714285714285716
STORE_01,SKU_004,2026-06-02,3.5714285714285716
STORE_01,SKU_004,2026-06-03,3.5714285714285716
STORE_01,SKU_004,2026-06-04,3.5714285714285716
STORE_01,SKU_004,2026-06-05,3.5714285714285716
STORE_01,SKU_004,2026-06-06,4.416074002502653
STORE_01,SKU_004,2026-06-07,4.416074002502653
STORE_01,SKU_005,2026-06-01,1.2857142857142858
STORE_01,SKU_005,2026-06-02,1.2857142857142858
STORE_01,SKU_005,2026-06-03,1.2857142857142858
STORE_01,SKU_005,2026-06-04,1.2857142857142858
STORE_01,SKU_005,2026-06-05,1.2857142857142858
STORE_01,SKU_005,2026-06-06,1.3883824161137894
STORE_01,SKU_005,2026-06-07,1.3883824161137894
STORE_01,SKU_006,2026-06-01,1.7142857142857142
STORE_01,SKU_006,2026-06-02,1.7142857142857142
STORE_01,SKU_006,2026-06-03,1.7142857142857142
STORE_01,SKU_006,2026-06-04,1.7142857142857142
STORE_01,SKU_006,2026-06-05,1.7142857142857142
STORE_01,SKU_006,2026-06-06,2.3538232865400492
STORE_01,SKU_006,2026-06-07,2.3538232865400492
STORE_01,SKU_007,2026-06-01,1.7142857142857142
STORE_01,SKU_007,2026-06-02,1.7142857142857142
STORE_01,SKU_007,2026-06-03,1.7142857142857142
STORE_01,SKU_007,2026-06-04,1.7142857142857142
STORE_01,SKU_007,2026-06-05,1.7142857142857142
STORE_01,SKU_007,2026-06-06,1.6598400721931166
STORE_01,SKU_007,2026-06-07,1.6598400721931166
STORE_01,SKU_008,2026-06-01,2.4285714285714284
STORE_01,SKU_008,2026-06-02,2.4285714285714284
STORE_01,SKU_008,2026-06-03,2.4285714285714284
STORE_01,SKU_008,2026-06-04,2.4285714285714284
STORE_01,SKU_008,2026-06-05,2.4285714285714284
STORE_01,SKU_008,2026-06-06,3.522946428571428
STORE_01,SKU_008,2026-06-07,3.522946428571428
STORE_01,SKU_009,2026-05-29,2.142857142857143
STORE_01,SKU_009,2026-05-30,2.5948616600790513
STORE_01,SKU_009,2026-05-31,2.5948616600790513
STORE_01,SKU_009,2026-06-01,2.142857142857143
STORE_01,SKU_009,2026-06-02,2.142857142857143
STORE_01,SKU_009,2026-06-03,2.142857142857143
STORE_01,SKU_009,2026-06-04,2.142857142857143
STORE_01,SKU_010,2026-06-01,1.8571428571428572
STORE_01,SKU_010,2026-06-02,1.8571428571428572
STORE_01,SKU_010,2026-06-03,1.8571428571428572
STORE_01,SKU_010,2026-06-04,1.8571428571428572
STORE_01,SKU_010,2026-06-05,1.8571428571428572
STORE_01,SKU_010,2026-06-06,2.480053883798417
STORE_01,SKU_010,2026-06-07,2.480053883798417
STORE_01,SKU_011,2026-06-01,1.8571428571428572
STORE_01,SKU_011,2026-06-02,1.8571428571428572
STORE_01,SKU_011,2026-06-03,1.8571428571428572
STORE_01,SKU_011,2026-06-04,1.8571428571428572
STORE_01,SKU_011,2026-06-05,1.8571428571428572
STORE_01,SKU_011,2026-06-06,2.166243819932345
STORE_01,SKU_011,2026-06-07,2.166243819932345
STORE_01,SKU_012,2026-06-01,1.2857142857142858
STORE_01,SKU_012,2026-06-02,1.2857142857142858
STORE_01,SKU_012,2026-06-03,1.2857142857142858
STORE_01,SKU_012,2026-06-04,1.2857142857142858
STORE_01,SKU_012,2026-06-05,1.2857142857142858
