store_id,sku_id,date,actual_demand,predicted_demand,absolute_error,absolute_percentage_error
STORE_01,SKU_001,2026-05-18,4,2.4285714285714284,1.5714285714285716,39.28571428571429
STORE_01,SKU_001,2026-05-19,4,2.4285714285714284,1.5714285714285716,39.28571428571429
STORE_01,SKU_001,2026-05-20,4,2.4285714285714284,1.5714285714285716,39.28571428571429
STORE_01,SKU_001,2026-05-21,3,2.4285714285714284,0.5714285714285716,19.047619047619055
STORE_01,SKU_001,2026-05-22,2,2.4285714285714284,0.4285714285714284,21.42857142857142
STORE_01,SKU_001,2026-05-23,2,3.101637845028267,1.1016378450282671,55.08189225141336
STORE_01,SKU_001,2026-05-24,5,3.101637845028267,1.8983621549717329,37.967243099434654
STORE_01,SKU_001,2026-05-25,3,2.4285714285714284,0.5714285714285716,19.047619047619055
STORE_01,SKU_001,2026-05-26,4,2.4285714285714284,1.5714285714285716,39.28571428571429
STORE_01,SKU_001,2026-05-27,2,2.4285714285714284,0.4285714285714284,21.42857142857142
STORE_01,SKU_001,2026-05-28,2,2.4285714285714284,0.4285714285714284,21.42857142857142
STORE_01,SKU_001,2026-05-29,2,2.4285714285714284,0.4285714285714284,21.42857142857142
STORE_01,SKU_001,2026-05-30,1,3.101637845028267,2.101637845028267,210.1637845028267
STORE_01,SKU_001,2026-05-31,2,3.101637845028267,1.1016378450282671,55.08189225141336
STORE_01,SKU_002,2026-05-13,1,2.2857142857142856,1.2857142857142856,128.57142857142856
STORE_01,SKU_002,2026-05-14,3,2.2857142857142856,0.7142857142857144,23.809523809523814
STORE_01,SKU_002,2026-05-16,3,3.15993504112316,0.15993504112315993,5.331168037438664
STORE_01,SKU_002,2026-05-17,2,3.15993504112316,1.15993504112316,57.996752056157995
STORE_01,SKU_002,2026-05-20,2,2.2857142857142856,0.2857142857142856,14.28571428571428
STORE_01,SKU_002,2026-05-22,1,2.2857142857142856,1.2857142857142856,128.57142857142856
STORE_01,SKU_002,2026-05-23,5,3.15993504112316,1.84006495887684,36.8012991775368
STORE_01,SKU_002,2026-05-24,1,3.15993504112316,2.15993504112316,215.993504112316
STORE_01,SKU_002,2026-05-25,1,2.2857142857142856,1.2857142857142856,128.57142857142856
STORE_01,SKU_002,2026-05-26,2,2.2857142857142856,0.2857142857142856,14.28571428571428
STORE_01,SKU_002,2026-05-28,2,2.2857142857142856,0.2857142857142856,14.28571428571428
STORE_01,SKU_002,2026-05-29,3,2.2857142857142856,0.7142857142857144,23.809523809523814
STORE_01,SKU_002,2026-05-30,4,3.15993504112316,0.8400649588768401,21.001623971921003
STORE_01,SKU_002,2026-05-31,3,3.15993504112316,0.15993504112315993,5.331168037438664
