store_id,sku_id,snapshot_date,stock_on_hand,reorder_point,avg_lead_time_days,forecast_7_day_demand,forecast_daily_demand,lead_time_demand,days_of_cover,stock_surplus_deficit,risk_score,risk_level,estimated_stockout_days
STORE_02,SKU_245,2026-05-31,0,7,2,16.423085363177528,2.346155051882504,4.692310103765008,0.0,-4.692310103765008,0.0,High,0.0
STORE_11,SKU_003,2026-05-31,2,9,3,20.06842105263158,2.866917293233083,8.60075187969925,0.6976134277471806,-6.600751879699249,0.2325378092490602,High,0.6976134277471806
STORE_10,SKU_102,2026-05-31,2,6,3,17.148556231003038,2.449793747286148,7.3493812418584445,0.8163952586684392,-5.3493812418584445,0.27213175288947977,High,0.8163952586684392
STORE_15,SKU_101,2026-05-31,3,8,3,22.703419811320757,3.2433456873315367,9.73003706199461,0.9249707830151928,-6.73003706199461,0.30832359433839757,High,0.9249707830151928
STORE_09,SKU_184,2026-05-31,2,8,2,14.78240173097728,2.1117716758538974,4.223543351707795,0.9470720830609197,-2.2235433517077947,0.47353604153045986,High,0.9470720830609197
STORE_06,SKU_087,2026-05-31,2,6,3,14.664570230607968,2.0949386043725666,6.284815813117699,0.9546819156540386,-4.284815813117699,0.3182273052180129,High,0.9546819156540386
STORE_07,SKU_198,2026-05-31,2,6,4,13.537073276799301,1.9338676109713286,7.735470443885315,1.034196957771817,-5.735470443885315,0.25854923944295427,High,1.034196957771817
STORE_04,SKU_239,2026-05-31,4,11,3,26.723015432692847,3.8175736332418353,11.452720899725506,1.0477859458085292,-7.452720899725506,0.3492619819361764,High,1.0477859458085292
STORE_07,SKU_131,2026-05-31,2,5,3,12.624147856385395,1.8034496937693423,5.410349081308027,1.1089857437719004,-3.410349081308027,0.36966191459063347,High,1.1089857437719004
STORE_11,SKU_083,2026-05-31,4,10,5,24.07018315018315,3.4385975928833075,17.192987964416538,1.16326493343641,-13.192987964416538,0.23265298668728196,High,1.16326493343641
STORE_05,SKU_241,2026-05-31,4,9,2,23.3071111644082,3.329587309201172,6.659174618402344,1.2013500859239137,-2.6591746184023437,0.6006750429619568,High,1.2013500859239137
STORE_06,SKU_136,2026-05-31,2,6,3,11.475235708318415,1.6393193869026308,4.917958160707892,1.2200185125479714,-2.917958160707892,0.4066728375159905,High,1.2200185125479714
STORE_01,SKU_064,2026-05-31,4,11,4,22.928378898729303,3.275482699818472,13.101930799273887,1.2211940549164497,-9.101930799273887,0.30529851372911243,High,1.2211940549164497
